group_key,n,within_group_rmse_mean,within_group_rmse_max
"[""1::1::111""]",8,0.050369882628268386,0.09416720212284722
"[""1::1::112""]",8,0.04090068533261397,0.09135517102597686
"[""1::1::113""]",8,0.022152336052829506,0.05610945124623147
"[""1::1::114""]",8,0.02932578213431314,0.05172050561049108
"[""1::1::115""]",8,0.041200938580894866,0.1257796877632897
"[""1::1::116""]",8,0.03066424298862585,0.07338011443542762
"[""1::1::117""]",8,0.031247701493842924,0.08452883031984966
"[""1::1::118""]",8,0.02841784696633665,0.05066601867710456
"[""1::1::119""]",8,0.029507667387822564,0.04971933642270899
"[""1::1::12""]",9,0.07574488987129468,0.1870576472040625
"[""1::1::120""]",8,0.02825267912273705,0.06546343094683205
"[""1::1::122""]",8,0.03127332610639308,0.0648917774237826
"[""1::1::123""]",8,0.028340324323810333,0.07374569834365628
"[""1::1::124""]",8,0.028738808817105152,0.04530779819877554
"[""1::1::125""]",9,0.047035355960796506,0.16624983224779913
"[""1::1::126""]",9,0.03347133353019277,0.0710949219363059
"[""1::1::127""]",9,0.0318811121709366,0.06996367726897446
"[""1::1::128""]",9,0.046219417312699504,0.09777765122996047
"[""1::1::129""]",9,0.03917010436600202,0.09610394942965507
"[""1::1::13""]",9,0.025645757315569104,0.045200504497255975
"[""1::1::130""]",9,0.027599849311137122,0.042645850376804684
"[""1::1::131""]",9,0.030171275247120568,0.06939476809607426
"[""1::1::132""]",9,0.04331415613897197,0.09417959406301005
"[""1::1::133""]",9,0.031944938473749275,0.06883921405331049
"[""1::1::134""]",9,0.03757532953517959,0.07656720307688615
"[""1::1::135""]",9,0.04178366988651156,0.08878987007243051
"[""1::1::136""]",9,0.030983980166801102,0.0598965897988696
"[""1::1::137""]",9,0.044096544639079804,0.08224188138027329
"[""1::1::138""]",9,0.03799612718979875,0.08550742858075568
"[""1::1::139""]",9,0.07616278735509854,0.19468043911281407
"[""1::1::14""]",9,0.03298547297296411,0.04734191995215545
"[""1::1::140""]",8,0.032273277876854065,0.04962617350526024
"[""1::1::141""]",9,0.030256299476945928,0.0589823912460385
"[""1::1::142""]",9,0.04048217063965132,0.08966795049557709
"[""1::1::143""]",9,0.039676958075550384,0.06625271245471033
"[""1::1::144""]",9,0.03413512163529617,0.09767072548765034
"[""1::1::145""]",9,0.03934454186961171,0.07588320014153088
"[""1::1::146""]",9,0.03181896728483876,0.05947201822548171
"[""1::1::147""]",9,0.026498189960999324,0.061318081027800446
"[""1::1::148""]",9,0.02618317920860137,0.04361424996123861
"[""1::1::149""]",9,0.026688468954821007,0.05862697711157332
"[""1::1::15""]",9,0.020586671519504298,0.04373379056999553
"[""1::1::150""]",9,0.034855133337436534,0.05312513491912495
"[""1::1::151""]",9,0.03295393903692388,0.08035314597760691
"[""1::1::152""]",9,0.029589049783726135,0.041641496674838546
"[""1::1::153""]",9,0.03639035846106284,0.06055488842485432
"[""1::1::154""]",9,0.024623849109623352,0.04280680163279512
"[""1::1::155""]",9,0.024863197787254272,0.03815118523828091
"[""1::1::156""]",9,0.025683547558292778,0.058270677017515836
"[""1::1::157""]",9,0.024992251953801958,0.046471901772156765
"[""1::1::158""]",9,0.0349022398200139,0.06314264520881706
"[""1::1::159""]",9,0.03625502459341127,0.07212613395657709
"[""1::1::16""]",9,0.020446166736183456,0.029747475326034754
"[""1::1::160""]",9,0.028190970515856745,0.06091646260387135
"[""1::1::161""]",9,0.0380718566722176,0.06503046588660512
"[""1::1::162""]",9,0.027360216302886833,0.04823772400027186
"[""1::1::163""]",9,0.023396047056439603,0.06120956503888995
"[""1::1::164""]",9,0.02876599204475156,0.05565496253380812
"[""1::1::165""]",9,0.030846887807587677,0.06535009589779539
"[""1::1::166""]",9,0.033594453767009105,0.06805509624598133
"[""1::1::167""]",9,0.027646532800893582,0.06836636553364796
"[""1::1::168""]",9,0.032446721344210144,0.08363659009969607
"[""1::1::169""]",9,0.034375323667280196,0.08836412447720883
"[""1::1::17""]",9,0.03373684378711913,0.07100915160783662
"[""1::1::170""]",9,0.046315095826127334,0.11884264656918535
"[""1::1::171""]",9,0.02173420828178977,0.031781832335266914
"[""1::1::172""]",9,0.023862948689792947,0.03893735408077479
"[""1::1::18""]",9,0.02893777776122178,0.08541008128095662
"[""1::1::19""]",9,0.030549579813730535,0.06535908323154674
"[""1::1::2""]",9,0.027511040140345493,0.059549958894334794
"[""1::1::20""]",9,0.03580796815908616,0.09371753799716413
"[""1::1::21""]",9,0.02666236149593745,0.05872827497786311
"[""1::1::22""]",9,0.039429609524636984,0.12060324025289336
"[""1::1::23""]",9,0.030929500649504425,0.045249821755523195
"[""1::1::24""]",9,0.05139800500698914,0.19051342884713146
"[""1::1::25""]",9,0.054328495758880865,0.13062289542469419
"[""1::1::26""]",9,0.027929133394889886,0.04060230089626193
"[""1::1::27""]",9,0.03017362835734237,0.06089082812363365
"[""1::1::28""]",9,0.040087985998195325,0.10746701257844582
"[""1::1::29""]",9,0.033596015834549395,0.05674289863871104
"[""1::1::3""]",9,0.03847882848608577,0.0664989768185068
"[""1::1::30""]",9,0.034841167035730584,0.06221762774341706
"[""1::1::31""]",9,0.03268448446080563,0.0479213221913125
"[""1::1::32""]",9,0.04141621800667389,0.08913498642757306
"[""1::1::33""]",9,0.028482885128799405,0.0357739661613261
"[""1::1::34""]",9,0.03473407617083704,0.07259041286953148
"[""1::1::35""]",9,0.03090594072464003,0.0557523192582304
"[""1::1::36""]",9,0.05544860934765425,0.18113194684435407
"[""1::1::37""]",8,0.022238249640421093,0.02948701080263909
"[""1::1::38""]",9,0.025426636783342105,0.03956115451542747
"[""1::1::39""]",9,0.03861119135585922,0.11454014771076232
"[""1::1::4""]",9,0.024891867760862336,0.0478443425320174
"[""1::1::40""]",9,0.03844949705221106,0.11578306511890461
"[""1::1::41""]",9,0.03642204102956707,0.06944044544123325
"[""1::1::42""]",9,0.048987660788770176,0.13017099218628114
"[""1::1::43""]",9,0.0548723284677937,0.20879569090652347
"[""1::1::44""]",9,0.0326973689642411,0.06861465252323325
"[""1::1::45""]",9,0.0418525827393168,0.10584443182839581
"[""1::1::46""]",9,0.03386526406112014,0.09168955712319052
"[""1::1::47""]",9,0.029681118532378332,0.08343614829293462
"[""1::1::48""]",9,0.05175878947377947,0.135938390468838
"[""1::1::49""]",9,0.04260411295612055,0.1485934804705602
"[""1::1::5""]",9,0.057302550368954056,0.23283470605202097
"[""1::1::50""]",9,0.03891470862156543,0.0812620662874676
"[""1::1::51""]",9,0.03693912847827881,0.08766350798951485
"[""1::1::52""]",9,0.027443630196703043,0.03868381213150499
"[""1::1::53""]",9,0.038278638880641945,0.08104804062787369
"[""1::1::54""]",9,0.020287599583400224,0.029671462224704095
"[""1::1::55""]",9,0.02714462147919416,0.056827163684409425
"[""1::1::56""]",9,0.03352217651042741,0.09004170708429361
"[""1::1::57""]",9,0.0217799541744206,0.04590855308224089
"[""1::1::58""]",9,0.028571805875358274,0.055685503001454896
"[""1::1::59""]",9,0.0230034796417971,0.04774957557549936
