geometry,component,eigenvalue,explained_variance_ratio,cumulative_explained_variance
body_site_1,9,8.747694517155916e-06,5.600792921088413e-05,0.9999067379765194
body_site_1,10,3.804772221568779e-06,2.436040865753112e-05,0.9999310983851769
body_site_1,11,2.2590117900621477e-06,1.4463533468872081e-05,0.9999455619186458
body_site_1,12,2.081182129884298e-06,1.3324962500338218e-05,0.9999588868811461
body_site_1,13,1.7648811691256084e-06,1.1299816127798105e-05,0.9999701866972739
body_site_1,14,9.270770519163299e-07,5.935697205124462e-06,0.999976122394479
body_site_1,15,8.527571965533742e-07,5.459857406424576e-06,0.9999815822518854
body_site_1,16,5.272502345845154e-07,3.3757687533689226e-06,0.9999849580206388
body_site_1,17,3.578277857378549e-07,2.2910257387233337e-06,0.9999872490463775
body_site_1,18,3.301800298259025e-07,2.1140084054225952e-06,0.9999893630547829
body_site_1,19,2.971438998740715e-07,1.9024915052707945e-06,0.9999912655462881
body_site_1,20,2.4403087170600554e-07,1.5624303936283302e-06,0.9999928279766818
body_site_1,21,2.0388903510997037e-07,1.3054185446141308e-06,0.9999941333952264
body_site_1,22,1.7839873355569964e-07,1.1422145138588536e-06,0.9999952756097402
body_site_1,23,1.6759876590055586e-07,1.073066714661838e-06,0.9999963486764549
body_site_1,24,1.3395101035831962e-07,8.576338246793686e-07,0.9999972063102796
body_site_1,25,1.091867868397799e-07,6.990785762000437e-07,0.9999979053888558
body_site_1,26,8.757214271463228e-08,5.6068880324838e-07,0.9999984660776591
body_site_1,27,7.170621620063386e-08,4.591057304377827e-07,0.9999989251833895
body_site_1,28,5.696957426126039e-08,3.647530073370996e-07,0.9999992899363969
body_site_1,29,4.7047972457589065e-08,3.012290273457097e-07,0.9999995911654243
body_site_1,30,3.710075990921898e-08,2.3754107217510963e-07,0.9999998287064964
body_site_1,31,2.6753769788674248e-08,1.712935038494612e-07,1.0000000000000002
body_site_10,1,0.12679307808218213,0.953428799682841,0.953428799682841
body_site_10,2,0.0049743398451665,0.037404872091815713,0.9908336717746568
body_site_10,3,0.0007781125725285919,0.005851068112434416,0.9966847398870912
body_site_10,4,0.0002778983890711164,0.0020896750164400594,0.9987744149035312
body_site_10,5,8.763482867533494e-05,0.0006589757956674888,0.9994333906991988
body_site_10,6,2.4911453093566097e-05,0.0001873232922538523,0.9996207139914527
body_site_10,7,1.9799458239165608e-05,0.00014888331436439025,0.999769597305817
body_site_10,8,1.201881523034779e-05,9.037626305793308e-05,0.9998599735688749
body_site_10,9,6.251348867533395e-06,4.700742451656456e-05,0.9999069809933915
body_site_10,10,2.7799655575685933e-06,2.0904131872201396e-05,0.9999278851252636
